Start Date,End Date,Most Played Teams,ATL,BKN,BOS,CHA,CHI,CLE,CNS,DAL,DEN,DET,EST,FLA,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,MRA,NOP,NYK,NZB,OKC,ORL,PHI,PHX,POR,RMD,SAC,SAS,TOR,UTA,WAS,WST
2024-01-01,2024-01-03,N/A,1,2,1,2,2,2,0,2,1,2,0,0,1,2,2,2,1,2,2,2,2,0,2,2,0,2,2,1,2,2,0,2,1,2,2,1,0
2024-01-04,2024-01-07,DEN GSW,2,2,2,1,1,2,0,2,3,2,0,0,3,2,2,2,2,2,1,2,2,0,2,2,0,1,2,2,2,2,0,2,2,2,2,2,0
2024-01-08,2024-01-10,N/A,1,0,2,2,2,0,0,1,1,2,0,0,1,2,2,2,1,1,2,1,2,0,1,1,0,2,1,1,1,1,0,2,1,2,2,2,0
2024-01-11,2024-01-14,MIL POR,2,1,2,2,2,1,0,2,2,1,0,0,2,2,2,2,2,2,2,3,2,0,2,2,0,2,2,1,2,3,0,2,2,1,2,1,0
2024-01-15,2024-01-17,N/A,2,2,2,1,1,2,0,2,1,2,0,0,1,2,1,1,2,1,2,1,1,0,2,2,0,2,2,2,1,1,0,1,2,2,1,1,0
2024-01-18,2024-01-21,IND WAS,2,2,2,2,2,1,0,0,2,1,0,0,0,2,3,1,2,2,2,1,2,0,1,2,0,2,2,2,2,2,0,1,2,2,2,3,0
2024-01-22,2024-01-24,N/A,2,1,1,2,1,2,0,2,1,2,0,0,1,1,1,1,1,2,1,2,2,0,1,1,0,2,1,1,2,2,0,1,2,1,1,1,0
2024-01-25,2024-01-28,IND,2,2,2,2,2,1,0,2,2,2,0,0,2,2,3,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,0,2,2,2,2,2,0
2024-01-29,2024-01-31,N/A,1,2,2,2,2,2,0,2,2,1,0,0,1,2,1,2,2,1,2,2,2,0,2,2,0,2,2,2,2,2,0,2,2,1,2,2,0
2024-02-01,2024-02-04,IND MEM,2,1,2,2,1,2,0,1,2,2,0,0,2,2,3,2,2,3,2,2,2,0,1,2,0,2,2,2,2,2,0,2,2,2,2,2,0
2024-02-05,2024-02-07,N/A,2,2,1,2,1,2,0,2,0,1,0,0,2,1,1,2,1,1,2,1,1,0,2,1,0,1,1,2,1,0,0,2,1,2,1,1,0
2024-02-08,2024-02-11,N/A,2,2,2,2,2,2,0,2,2,2,0,0,2,2,2,1,2,2,1,2,1,0,2,2,0,2,2,2,2,2,0,2,2,2,1,2,0
2024-02-12,2024-02-14,N/A,2,2,2,2,2,2,0,2,2,2,0,0,2,2,2,2,2,2,2,2,2,0,2,2,0,1,2,2,2,1,0,2,2,2,2,2,0
2024-02-15,2024-02-18,N/A,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2024-02-19,2024-02-21,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-22,2024-02-25,N/A,2,2,2,3,2,3,0,2,3,2,0,0,3,3,2,3,3,1,1,2,2,0,3,2,0,3,3,3,3,2,0,2,3,2,2,3,0
2024-02-26,2024-02-28,N/A,1,2,1,1,2,2,0,2,1,2,0,0,1,1,2,1,1,2,2,1,2,0,2,2,0,1,1,1,0,1,0,2,1,2,1,1,0
2024-02-29,2024-03-03,CHA GSW PHX,2,2,2,3,1,2,0,2,2,2,0,0,3,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,3,2,0,1,2,2,2,2,0
2024-03-04,2024-03-06,N/A,2,2,1,1,2,2,0,1,1,1,0,0,1,2,1,2,2,2,1,2,1,0,1,1,0,2,2,2,1,2,0,2,1,1,2,2,0
2024-03-07,2024-03-10,BKN MIA MIN,2,3,2,2,2,2,0,2,2,2,0,0,2,2,2,2,2,2,3,2,3,0,2,2,0,2,2,2,2,2,0,2,2,2,1,2,0
2024-03-11,2024-03-13,N/A,1,1,2,2,2,2,0,2,2,2,0,0,2,1,2,1,1,2,1,1,1,0,1,1,0,1,1,1,1,2,0,2,2,2,1,1,0
2024-03-14,2024-03-17,LAC PHX WAS,2,2,2,2,2,1,0,2,2,2,0,0,1,2,1,3,1,1,2,2,1,0,2,2,0,2,2,2,3,2,0,1,2,2,2,3,0
2024-03-18,2024-03-20,N/A,1,1,2,1,1,2,0,1,1,2,0,0,2,1,2,1,1,2,2,1,2,0,1,1,0,1,1,2,1,2,0,2,1,1,2,1,0
2024-03-21,2024-03-24,NOP,2,2,2,1,2,2,0,1,2,2,0,0,2,2,2,2,2,1,2,2,2,0,3,2,0,2,2,2,2,2,0,2,2,2,2,2,0
2024-03-25,2024-03-27,N/A,2,2,1,2,2,2,0,2,2,2,0,0,2,2,2,2,2,2,1,1,1,0,1,2,0,2,1,2,2,2,0,2,2,2,2,2,0
2024-03-28,2024-03-31,N/A,2,2,2,2,2,2,0,2,2,1,0,0,2,2,1,2,2,1,2,2,2,0,2,2,0,2,2,2,1,1,0,2,2,1,2,2,0
2024-04-01,2024-04-03,N/A,2,2,2,2,1,2,0,1,1,2,0,0,1,1,2,1,2,2,1,2,2,0,2,1,0,2,2,1,2,2,0,1,1,2,1,2,0
2024-04-04,2024-04-07,N/A,2,2,2,2,2,2,0,3,2,2,0,0,3,3,2,3,2,2,3,2,2,0,2,3,0,2,2,3,2,2,0,3,2,2,2,2,0
2024-04-08,2024-04-10,N/A,2,1,1,2,1,1,0,2,2,1,0,0,1,1,1,2,1,2,2,2,2,0,1,1,0,2,2,1,2,1,0,1,2,2,1,1,0
2024-04-11,2024-04-14,N/A,2,2,3,2,3,2,0,2,2,3,0,0,3,3,2,2,2,2,2,2,2,0,3,3,0,2,2,2,2,3,0,3,2,2,3,2,0
